"Fachbegriff";"Einfache Erklärung";"Themenbereich"
"Akt";"Ein großer Abschnitt, in den ein Theaterstück oder ein Buch unterteilt ist.";"Schreiben"
"Analytisches Drama";"Ein Theaterstück oder Buch, bei dem das Schlimmste schon passiert ist und man nach und nach herausfindet, warum.";"Schreiben"
"Anthologie";"Ein Buch, in dem Texte von vielen verschiedenen Autoren gesammelt sind.";"Schreiben"
"Autorensoftware";"Spezielle Computerprogramme (z. B. Papyrus Autor oder Scrivener), die Autoren beim Planen und Schreiben helfen.";"Arbeitsmittel"
"Autorenvita";"Ein kurzer Text, der das Leben und die wichtigsten Infos über den Autor beschreibt.";"Autorenschaft"
"Cliffhanger";"Ein fieser, extrem spannender Moment am Ende eines Kapitels, der den Leser zum Weiterlesen zwingt.";"Schreiben"
"Dithyrambus";"Ein antikes, sehr begeistertes Loblied aus dem alten Griechenland.";"Schreiben"
"Exordium";"Der klassische Begriff aus der Rhetorik für die Einleitung eines Textes oder einer Rede.";"Schreiben"
"Exposition";"Die Einleitung einer Geschichte, in der die Personen, die Zeit und der Ort vorgestellt werden.";"Schreiben"
"Freie Rhythmen";"Gedichte ohne festes Reimschema oder vorgegebenen Takt.";"Schreiben"
"Haiku";"Ein sehr kurzes Gedicht aus Japan mit strengen Regeln.";"Schreiben"
"Hybridautor";"Ein Autor, der seine Bücher sowohl klassisch in einem Verlag als auch komplett selbst veröffentlicht.";"Autorenschaft"
"Indie-Autor";"Ein unabhängiger Autor, der seine Bücher ohne klassischen Verlag veröffentlicht.";"Autorenschaft"
"Manuskript";"Der erste geschriebene Rohtext eines Buches, bevor er gedruckt wird.";"Arbeitsmittel"
"NaNoWriMo";"Eine weltweite Aktion im November, bei der Autoren versuchen, in 30 Tagen 50.000 Wörter zu schreiben.";"Community"
"Normseite";"Eine genormte Seite mit etwa 1.500 Zeichen. Damit wird berechnet, wie lang ein Buch genau ist.";"Arbeitsmittel"
"Pantser";"Ein Autor, der ohne vorherigen Plan einfach aus dem Bauch heraus drauflos schreibt.";"Schreiben"
"Plotter";"Ein Autor, der die gesamte Geschichte von Anfang bis Ende genau plant, bevor er anfängt zu schreiben.";"Schreiben"
"POV (Point of View)";"Die Sichtweise oder Perspektive, aus der eine Geschichte erzählt wird (z. B. Ich-Perspektive).";"Schreiben"
"Schreibhandwerk";"Die Regeln und Techniken, wie man gut, spannend und verständlich schreibt.";"Schreiben"
"Testlesende";"Leute, die das Buch vor der Veröffentlichung lesen, um Fehler zu finden oder zu sagen, wie die Geschichte wirkt.";"Schreiben"
"Unzuverlässiges Erzählen";"Wenn der Erzähler im Buch absichtlich lügt, sich irrt oder Dinge verheimlicht, sodass der Leser ihm nicht trauen kann.";"Schreiben"
"Zeitpunkt des Erzählens";"Ob eine Geschichte genau jetzt passiert, in der Vergangenheit liegt oder aus der Zukunft erzählt wird.";"Schreiben"
"Zeugma";"Ein Wortspiel, bei dem ein Wort für zwei verschiedene Dinge steht (z.B. 'Er schlug die Tür zu und den Weg ein').";"Schreiben"
"Auszeichnen";"Textstellen im Programm besonders hervorheben, zum Beispiel durch kursiv oder fett.";"Typografie"
"Autorenkorrektur";"Wenn der Autor den Text nach dem Lektorat noch einmal selbst überarbeitet.";"Korrektur"
"Blindtext";"Ein bedeutungsloser Text (oft 'Lorem ipsum'), der nur als Platzhalter dient, um das Buchlayout zu testen.";"Buchsatz"
"Blocksatz";"Das Anpassen der Wörter in einer Zeile, sodass der Text links und rechts einen perfekt geraden Rand hat.";"Typografie"
"Differenzierendes Lesen";"Sehr konzentriertes Lesen (z.B. bei Fachbüchern), bei dem man sich viele Details merken muss.";"Buchsatz"
"Divis";"Ein kurzer Trennstrich (für Silben am Zeilenende) oder Bindestrich.";"Typografie"
"Druckfahne";"Ein Probedruck des Buches, in dem nach den letzten Fehlern gesucht wird.";"Korrektur"
"Durchschuss";"Der freie Abstand zwischen den einzelnen Textzeilen.";"Typografie"
"Festabstand";"Ein fester Abstand zwischen Wörtern, der sich beim automatischen Zeilenumbruch nicht verschiebt.";"Typografie"
"Flattersatz";"Ein Text, der nur auf einer Seite gerade ist und auf der anderen Seite unregelmäßig ausläuft ('flattert').";"Typografie"
"Fliegenkopf";"Ein Fehler beim Drucken, bei dem ein Buchstabe aus Versehen auf dem Kopf steht.";"Fehler"
"Font";"Das englische Wort für die gewählte Schriftart.";"Typografie"
"Frontispiz";"Die Rückseite der ersten Seite im Buch (Schmutztitelseite). Hier ist oft ein Bild gedruckt oder die Seite bleibt leer.";"Buchsatz"
"Geviert / Halbgeviert";"Typografische Maßeinheiten für Abstände oder Striche (z.B. für den Gedankenstrich).";"Typografie"
"Gut zum Druck (GzD)";"Die offizielle Freigabe, dass das Buch fertig ist und genau so gedruckt werden darf.";"Buchsatz"
"Hauskorrektur";"Die erste Fehlersuche, die ein Verlag intern macht, bevor der Autor den Text sieht.";"Korrektur"
"Hurenkind";"Ein Fehler, bei dem die allerletzte Zeile eines Absatzes ganz allein oben auf einer neuen Seite steht.";"Typografie"
"Initiale";"Ein besonders großer, manchmal verzierter Anfangsbuchstabe am Beginn eines Kapitels.";"Typografie"
"Initialwort";"Ein Wort, das nur aus den Anfangsbuchstaben anderer Wörter besteht (z.B. LKW oder EU).";"Typografie"
"Kapitälchen";"Buchstaben, die aussehen wie Großbuchstaben, aber so klein sind wie normale Kleinbuchstaben.";"Typografie"
"Kolumnentitel";"Die Überschrift ganz oben auf einer Buchseite (Kopfzeile), oft mit Seitenzahl und Kapitelname.";"Buchsatz"
"Kompress";"Wenn Zeilen so eng aneinandergedruckt werden, dass kein Platz (Durchschuss) mehr dazwischen ist.";"Typografie"
"Konsultierendes Lesen";"Das schnelle Suchen nach bestimmten Infos, wie man es bei einem Lexikon oder Nachschlagewerk macht.";"Buchsatz"
"Korrekturzeichen";"Bestimmte genormte Symbole, mit denen Korrektoren Fehler am Seitenrand markieren.";"Korrektur"
"Korrektorat";"Die reine Fehlersuche: Es werden nur Rechtschreibung, Kommas und Grammatik korrigiert.";"Korrektur"
"Laufweite";"Der Abstand zwischen den einzelnen Buchstaben in einem Wort.";"Typografie"
"Lektorat";"Die Verbesserung des Inhalts: Es wird geprüft, ob die Geschichte spannend ist und alles Sinn macht.";"Korrektur"
"Ligatur";"Wenn zwei oder mehr Buchstaben optisch zu einem einzigen Zeichen verschmelzen (z.B. 'fl').";"Typografie"
